date,coin,price,daily_return
2026-07-24 00:00:00,BTC,65033.02206215462,
2026-07-25 00:00:00,BTC,64099.00415642356,-1.436220978379843
2026-07-26 00:00:00,BTC,64316.36420628235,0.3391005097807209
2026-07-27 00:00:00,BTC,65310.39342889224,1.5455308067815032
2026-07-28 00:00:00,BTC,63673.70583727069,-2.5060139829099604
2026-07-29 00:00:00,BTC,63957.0445311038,0.4449853987723351
2026-07-30 00:00:00,BTC,63934.10397135411,-0.035868698933594345
2026-07-31 00:00:00,BTC,64776.94132457678,1.3182907100728336
2026-08-01 00:00:00,BTC,62896.51265124351,-2.9029290900152827
2026-08-02 00:00:00,BTC,62802.63461583794,-0.14925793410219823
2026-08-03 00:00:00,BTC,63466.47029088457,1.057018832262857
2026-08-04 00:00:00,BTC,63472.83055254542,0.010021451692043826
2026-08-05 00:00:00,BTC,64039.40942040227,0.8926321119204106
2026-08-06 00:00:00,BTC,64574.31265301755,0.83527196371187
2026-08-07 00:00:00,BTC,64289.46264979674,-0.44111968291697945
2026-08-08 00:00:00,BTC,64872.60073274102,0.9070507963658159
2026-08-09 00:00:00,BTC,64916.00547973986,0.06690767212749194
2026-08-10 00:00:00,BTC,64860.52128247015,-0.08547075079508026
2026-08-11 00:00:00,BTC,63915.71213556821,-1.4566783125088634
2026-08-12 00:00:00,BTC,63537.55988964766,-0.5916420756111984
2026-08-13 00:00:00,BTC,63408.625697113624,-0.20292594295086008
2026-08-14 00:00:00,BTC,63417.394499802336,0.013829037599077942
2026-08-15 00:00:00,BTC,62996.3976329567,-0.6638507781125402
2026-08-16 00:00:00,BTC,63017.0734035797,0.03282056022229085
2026-08-17 00:00:00,BTC,62852.86351172356,-0.26058000314373997
2026-08-18 00:00:00,BTC,64455.380294477756,2.5496320982341336
2026-08-19 00:00:00,BTC,64664.42993991489,0.3243323435251577
2026-08-20 00:00:00,BTC,69418.43799253453,7.351813132872254
2026-08-21 00:00:00,BTC,73097.54507565373,5.299898974267991
2026-08-22 00:00:00,BTC,78317.77716345884,7.1414601987007
2026-08-22 12:38:20,BTC,77236.26196921589,-1.3809319332259595
2026-07-24 00:00:00,ETH,1876.9500085020109,
2026-07-25 00:00:00,ETH,1861.2641627234207,-0.8357093000633031
2026-07-26 00:00:00,ETH,1874.0317210558958,0.6859616484418574
2026-07-27 00:00:00,ETH,1951.7881774065308,4.149153692383845
2026-07-28 00:00:00,ETH,1890.5713453129135,-3.13644855534273
2026-07-29 00:00:00,ETH,1922.9988578210239,1.7152228921962775
2026-07-30 00:00:00,ETH,1907.7810005881443,-0.7913607005530565
2026-07-31 00:00:00,ETH,1918.7644614332812,0.575719164922539
2026-08-01 00:00:00,ETH,1863.142662703628,-2.898834111619142
2026-08-02 00:00:00,ETH,1844.6142829481894,-0.9944691904887115
2026-08-03 00:00:00,ETH,1881.7059929808206,2.010811169332838
2026-08-04 00:00:00,ETH,1858.1994088400288,-1.2492166272774052
2026-08-05 00:00:00,ETH,1868.126838502906,0.5342499634672926
2026-08-06 00:00:00,ETH,1906.3637301659685,2.046803829107513
2026-08-07 00:00:00,ETH,1901.8013771932322,-0.23932227100958992
2026-08-08 00:00:00,ETH,1912.1593085949448,0.544637916762869
2026-08-09 00:00:00,ETH,1915.3836992180761,0.16862562698818362
2026-08-10 00:00:00,ETH,1909.6461814501333,-0.29954926369505364
2026-08-11 00:00:00,ETH,1871.3976551883159,-2.0029116719816997
2026-08-12 00:00:00,ETH,1880.4862005694617,0.48565548620564947
2026-08-13 00:00:00,ETH,1877.743530062547,-0.14584901001050143
2026-08-14 00:00:00,ETH,1884.712594124015,0.37114035808902823
2026-08-15 00:00:00,ETH,1880.5615236085205,-0.2202495239028046
2026-08-16 00:00:00,ETH,1880.9924984095935,0.022917346529882643
2026-08-17 00:00:00,ETH,1874.4088568266561,-0.35000892286938257
2026-08-18 00:00:00,ETH,1911.3810401579174,1.9724716513479734
2026-08-19 00:00:00,ETH,1914.8055428210905,0.17916378739899486
2026-08-20 00:00:00,ETH,2253.555445653698,17.69108639269583
2026-08-21 00:00:00,ETH,2326.710967101489,3.246226827428722
2026-08-22 00:00:00,ETH,2514.967577695514,8.091104277921835
2026-08-22 12:38:40,ETH,2429.7811202390435,-3.3871791514118677
2026-07-24 00:00:00,SOL,75.7639067086523,
2026-07-25 00:00:00,SOL,73.92669024333507,-2.4249230869022975
2026-07-26 00:00:00,SOL,74.46821345207313,0.732513801112411
2026-07-27 00:00:00,SOL,76.60392655867378,2.8679526573780034
2026-07-28 00:00:00,SOL,74.197598700806,-3.1412591572896553
2026-07-29 00:00:00,SOL,73.896390368975,-0.4059542857250409
2026-07-30 00:00:00,SOL,73.6054627408716,-0.39369666996014185
2026-07-31 00:00:00,SOL,74.52193415556854,1.245113311661905
2026-08-01 00:00:00,SOL,72.88371649282755,-2.198302662570639
2026-08-02 00:00:00,SOL,71.89477455090024,-1.35687639093518
2026-08-03 00:00:00,SOL,73.49238900512461,2.222156567294453
2026-08-04 00:00:00,SOL,73.48633287167131,-0.008240490662070332
2026-08-05 00:00:00,SOL,73.69236764257435,0.2803715505342197
2026-08-06 00:00:00,SOL,74.00635491185224,0.4260784112688487
2026-08-07 00:00:00,SOL,72.66980741079921,-1.8059901783366805
2026-08-08 00:00:00,SOL,73.58959862413316,1.2657130190732557
2026-08-09 00:00:00,SOL,75.97049830242541,3.2353752742326547
2026-08-10 00:00:00,SOL,76.26663533085217,0.38980529948333675
2026-08-11 00:00:00,SOL,75.92477495236717,-0.4482436874289397
2026-08-12 00:00:00,SOL,76.21620473970299,0.3838401727481511
2026-08-13 00:00:00,SOL,75.5587764536576,-0.8625833420735973
2026-08-14 00:00:00,SOL,76.21864940925379,0.8733240353632654
2026-08-15 00:00:00,SOL,75.3388254222115,-1.1543421378645724
2026-08-16 00:00:00,SOL,75.27649557412367,-0.08273270486833795
2026-08-17 00:00:00,SOL,74.55360665901556,-0.9603115947345087
2026-08-18 00:00:00,SOL,75.92929432404951,1.8452328823284292
2026-08-19 00:00:00,SOL,76.9959574924126,1.404811117841831
